id,Original_Message,Extremism_Label,VE_NVE_classification,VE_NVE_text_span,VE_NVE_explanation,VE_NVE_confidence,VE_subtype,VE_subtype_text_span,VE_subtype_explanation,target_groups,target_groups_text_span,target_groups_explanation
34,how do you make a plumber cry you kill his family,EXTREMIST,VE,"""you kill his family""","The phrase explicitly calls for killing, which is a direct call to violence, meeting the VE criteria.",HIGH,Unclear,"""how do you make a plumber cry you kill his family""","The post contains a violent threat but does not specify any ideological, political, or religious motivation, making it unclear which subtype applies.",Refusal,,"Error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}"
35,how can serving years in prison for the murder of a boy be justice i am curious to know what qualifications and life experiences a person has to have to be on a parole board that releases a child killer back into society even worse a child killer that has shown no remorse and is far from a model prisoner if possible could the please reveal their names and faces i believe they should be held equally responsible and accountable if when freddie commits another violent crime if they were held accountable maybe they would think twice before releasing them let us be honest does anyone think the original sentence of years is justice for the killing of an innocent child my deepest sympathies go out to the family of camilla,EXTREMIST,NVE,"""i believe they should be held equally responsible and accountable if when freddie commits another violent crime""","The post expresses strong condemnation and calls for accountability but does not explicitly or implicitly call for violence; it critiques the justice system without advocating physical harm, fitting the definition of Non-Violent Extremism.",HIGH,N/A,N/A,N/A,"parole board members, child killers","""a person has to have to be on a parole board that releases a child killer back into society"", ""child killer that has shown no remorse"", ""if possible could the please reveal their names and faces i believe they should be held equally responsible and accountable""","The post explicitly targets ""a person... on a parole board"" responsible for releasing a ""child killer,"" holding them accountable for potential future crimes. The ""child killer"" is also targeted as a group responsible for violent crime and lacking remorse."
36,retweet you ever kill an ant on the sidewalk and think damn what if that nigga what a slut on his where are you to get some pussy,EXTREMIST,NVE,"""retweet you ever kill an ant on the sidewalk""","The post references killing an ant but does not call for or endorse violence against people or groups; it contains profanity and slurs but no direct or implied call for physical violence, fitting the NVE criteria.",HIGH,N/A,N/A,N/A,Refusal,,"Error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}"
37,why is it that you do not kill yourself you stupid fascist puppet,EXTREMIST,VE,"""you do not kill yourself""","The phrase ""you do not kill yourself"" is a direct call to violence against an individual, fitting the VE indicator of explicit threats or calls to violence.",HIGH,POLITICAL,"""stupid fascist puppet""","The phrase ""fascist puppet"" targets a political identity or affiliation, indicating violence motivated by opposition to political systems or figures, fitting the POLITICAL subtype definition.","conservatives, political puppets","""stupid fascist puppet""","The term ""fascist"" is commonly used as a political insult targeting right-wing or authoritarian political groups, often conservatives or those perceived as authoritarian. The word ""puppet"" implies someone controlled by others, often used in political contexts to describe individuals seen as lacking autonomy, reinforcing the political targeting."
38,attack any mulattoes that you see,EXTREMIST,VE,"""attack any mulattoes that you see""","The post contains a direct call to violence with the word ""attack,"" which explicitly advocates physical violence against a group, meeting the VE criteria.",HIGH,Refusal,,"Error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}",Refusal,,"Error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}"
39,i am not coming from a racist viewpoint but guys from india seem far more rama than guys from the terrorist countries,EXTREMIST,NVE,"""guys from india seem far more rama than guys from the terrorist countries""","The post expresses a negative stereotype and uses a derogatory label (""terrorist countries"") but does not contain any calls for or celebration of physical violence, fitting the definition of non-violent extremism.",HIGH,N/A,N/A,N/A,"Indian men, men from terrorist countries","""guys from india"", ""guys from the terrorist countries""","The post explicitly mentions ""guys from india,"" targeting Indian men, and contrasts them with ""guys from the terrorist countries,"" implying men from certain unspecified countries labeled as terrorist, thus targeting those nationalities."
40,i am going to kill amy,EXTREMIST,NVE,,Parse error: 'NoneType' object has no attribute 'strip',LOW,N/A,N/A,N/A,Refusal,,"Error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}"
41,i purpose that whatever attack everyone who cannot adhere to british values starting with asians,EXTREMIST,NVE,,Parse error: 'NoneType' object has no attribute 'strip',LOW,N/A,N/A,N/A,Refusal,,"Error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}"
42,is the penny finally dropping whatever have imported enough rape murder and violence already turn the boats round whatever do not want them sendthemback rapeugeesnotwecome,EXTREMIST,NVE,"""imported enough rape murder and violence already""","The post expresses hateful and extremist ideology by associating a group with rape, murder, and violence, but it does not explicitly call for or endorse physical violence against them. This fits the NVE category as it contains hate speech without a direct or implied call to violence.",HIGH,N/A,N/A,N/A,Refusal,,"Error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}"
43,attack any illegal aliens that you see,EXTREMIST,NVE,,Parse error: 'NoneType' object has no attribute 'strip',LOW,N/A,N/A,N/A,Refusal,,"Error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}"
44,this would be amusing if it didnt empower our enemies libprog cucks out to little brown people whom of course are majorities in their own countries white genocide stoptheinvasion,EXTREMIST,Refusal,,"API error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}",LOW,Refusal,,,Refusal,,
45,i went to a conference on lesbian issues can whatever just stab them all now and be done with it,EXTREMIST,NVE,,Parse error: 'NoneType' object has no attribute 'strip',LOW,N/A,N/A,N/A,Refusal,,"Error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}"
46,brilliant how muslims divert people s attention from terrorism by claiming there is a phobia against them,EXTREMIST,NVE,"""brilliant how muslims divert people s attention from terrorism by claiming there is a phobia against them""","The post expresses a negative stereotype and conspiracy about Muslims without any call for or endorsement of physical violence, fitting the definition of non-violent extremism.",HIGH,N/A,N/A,N/A,Refusal,,"Error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}"
47,the fight against the great replacement refugee crisis has begun germans protested and fought counterprotesters today spain sent back a bunch of migrants and europe no longer wants refugees good job europe fightback white genocide refugeesnotwelcome,EXTREMIST,NVE,"""germans protested and fought counterprotesters today spain sent back a bunch of migrants and europe no longer wants refugees good job europe fightback white genocide refugeesnotwelcome""","The post expresses extremist ideology and uses the term ""white genocide,"" which is a supremacist conspiracy theory, but it does not contain a direct or coded call for violence or celebration of violent acts. The mention of protests and fighting is descriptive, not an incitement or endorsement of violence.",HIGH,N/A,N/A,N/A,Refusal,,"Error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}"
48,go fuck yourself you dumbass bitch megan fug ate is a dirty ass lying gutter slut fucking whore and i would shoot that bitch myself and you do not know shit about the trial do not you ever talk shit on mike or dylan you fucking vagina and yeah dylan what a slut there that night it fucking happened you dumb bitch you do not know shit i know everything so go bury yourself a fucking hole lay in it and fucking die and whatever can put megan fug ate right next to you and you both can fucking die and rot in hell together you dumb piece of shit vagina go fucking die so i can shit and piss on your grave,EXTREMIST,Refusal,,"API error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}",LOW,Refusal,,,Refusal,,
49,society sucks because whatever do not kill enough people like her paki bastard,EXTREMIST,NVE,,Parse error: 'NoneType' object has no attribute 'strip',LOW,N/A,N/A,N/A,Refusal,,"Error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}"
50,us govt is one big crime scene i e wh dhs hhs epa etc while ongoing conspiracy against the state continues unabated kidnapping immigrant children illegal arrest imprisonment of immigrants theft of federal funds for nazi rallies violating emoluments clause tax scam,EXTREMIST,NVE,,Parse error: 'NoneType' object has no attribute 'strip',LOW,N/A,N/A,N/A,Refusal,,"Error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}"
51,fuck peta fucking animals have more sense than them,EXTREMIST,NVE,"""fuck peta fucking animals have more sense than them""","The post contains profanity and insults directed at a group but does not include any calls for or celebration of physical violence, fitting the definition of Non-Violent Extremism.",HIGH,N/A,N/A,N/A,PETA,"""fuck peta"", ""fucking animals have more sense than them""","The post explicitly mentions ""peta,"" referring to the animal rights organization People for the Ethical Treatment of Animals (PETA), in a derogatory manner. The phrase ""fucking animals have more sense than them"" implies criticism directed at PETA members or supporters. No other groups are mentioned or clearly implied."
52,attack any foreigners that you see,EXTREMIST,VE,"""attack any foreigners that you see""","The post contains a direct call to violence with the word ""attack,"" which explicitly advocates physical violence against a group, meeting the VE criteria.",HIGH,IDEOLOGICAL,"""attack any foreigners that you see""","The call to attack foreigners is driven by an ethnic or nationalist animus against outsiders, fitting the ideological subtype which includes violence motivated by ethnic or nationalist hostility. There is no explicit political or religious motivation indicated.",Refusal,,"Error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}"
53,look at what you just said los new era girl bye kill bitches kindness what cousin,EXTREMIST,NVE,"""kill bitches""","The phrase ""kill bitches"" uses violent language but appears as slang or an insult rather than a direct call to violence or threat; there is no clear incitement or celebration of physical violence. This fits the NVE category as it expresses hostility without explicit violent extremism.",MEDIUM,N/A,N/A,N/A,women,"""kill bitches""","The phrase ""kill bitches"" uses a derogatory term commonly directed at women, indicating that women are the targeted group in this post. No other groups are explicitly or clearly implied."
54,attack any jews that you see,EXTREMIST,NVE,,Parse error: 'NoneType' object has no attribute 'strip',LOW,N/A,N/A,N/A,Refusal,,"Error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}"
55,i applaud the murder of refugees,EXTREMIST,NVE,,Parse error: 'NoneType' object has no attribute 'strip',LOW,N/A,N/A,N/A,Refusal,,"Error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}"
56,murder her retweet when you fuck with crazy bitches shit like this happens feel bad for old boy,EXTREMIST,Refusal,,"API error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}",LOW,Refusal,,,Refusal,,
57,just hang the rapist without interrogation or trial face with symbols on mouth justice for twinkle justice for asia,EXTREMIST,NVE,,Parse error: 'NoneType' object has no attribute 'strip',LOW,N/A,N/A,N/A,Refusal,,"Error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}"
58,country formerly known as france is so far gone that they do not even call terrorism terrorism anymore parisattack is the new official permanent hashtag of paris refugeesnotwelcome brexit maga,EXTREMIST,NVE,"""parisattack is the new official permanent hashtag of paris refugeesnotwelcome brexit maga""","The post expresses disdain and political hate speech, including anti-refugee sentiment, but does not contain any direct or implied calls for violence or threats. It reflects extremist ideology without advocating physical violence.",HIGH,N/A,N/A,N/A,Refusal,,"Error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}"
59,if i hear one more black cab driver talk about low income i am going to shoot myself,EXTREMIST,NVE,,Parse error: 'NoneType' object has no attribute 'strip',LOW,N/A,N/A,N/A,Unclear,,
60,worldbank reports that in the next years many refugees have to leave her homeland specially in africa who will feed them is europe able to shoot them down and protect her own homeland before it will destroy from africans,EXTREMIST,NVE,,Parse error: 'NoneType' object has no attribute 'strip',LOW,N/A,N/A,N/A,Refusal,,"Error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}"
61,i love male gays that being said i do not feel the same about the women who belong to that group in all honesty i would love if they could live separately like the animals they are,EXTREMIST,NVE,"""like the animals they are""","The post uses dehumanizing language (""like the animals they are"") toward a group but does not contain any direct or implied calls for physical violence or harm, fitting the definition of Non-Violent Extremism.",HIGH,N/A,N/A,N/A,Refusal,,"Error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}"
62,this bitch is crazy kill this woman,EXTREMIST,VE,"""kill this woman""","The phrase ""kill this woman"" is a direct call to violence, which meets the criteria for violent extremism.",HIGH,Refusal,,"Error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}",Refusal,,"Error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}"
63,i would kill myself if my daughter married a dirty chink,EXTREMIST,NVE,,Parse error: 'NoneType' object has no attribute 'strip',LOW,N/A,N/A,N/A,Refusal,,"Error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}"
64,laughing out loud you failed as well people need to learn to stop correcting others for a minimal grammatical error considered irrelevant because as can be seen by the lack of be in so it would easier whatever all make mistakes whatever are humans and most regular individuals do not give importance to typing correctly on the internet unless you are a super grammar nazi,EXTREMIST,NVE,"""super grammar nazi""","The post contains a derogatory term ""super grammar nazi,"" which is an insult but does not advocate, incite, or celebrate physical violence. It expresses a non-violent extremist attitude through name-calling without any call for violence.",HIGH,N/A,N/A,N/A,"people who correct others for minor grammatical errors, ""super grammar nazi""","""people need to learn to stop correcting others for a minimal grammatical error considered irrelevant"", ""unless you are a super grammar nazi""","The post criticizes those who correct others for minor grammatical errors, implying they are overly strict or pedantic. The phrase ""super grammar nazi"" explicitly targets individuals who are excessively focused on grammar correctness."
65,killing these beautiful animals for sport is deplorable why doesn t they hunt niggers instead,EXTREMIST,VE,"""why doesn t they hunt niggers instead""","The phrase explicitly suggests redirecting violence (""hunt"") toward a racial group, which constitutes a direct call to violence and meets the VE criteria.",HIGH,Refusal,,"Error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}",Refusal,,"Error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}"
66,the only solution of rapist is that hang till death this place is not for this kind of demons justicefortwinklesharma,EXTREMIST,VE,"""the only solution of rapist is that hang till death""","The post explicitly calls for the physical execution (""hang till death"") of rapists, which is a direct call to violence and punishment by death, fitting the VE criteria.",HIGH,Unclear,,,Refusal,,"Error: Error code: 400 - {'error': {'message': ""litellm.BadRequestError: litellm.ContentPolicyViolationError: litellm.ContentPolicyViolationError: AzureException - The response was filtered due to the prompt triggering Azure OpenAI's content management policy. Please modify your prompt and retry. To learn more about our content filtering policies please read our documentation: https://go.microsoft.com/fwlink/?linkid=2198766\nmodel=gpt-4.1-mini. content_policy_fallback=None. fallbacks=None.\n\nSet 'content_policy_fallback' - https://docs.litellm.ai/docs/routing#fallbacks. Received Model Group=gpt-4.1-mini\nAvailable Model Group Fallbacks=None"", 'type': None, 'param': None, 'code': '400'}}"
