id,text,VE_or_NVE,S_Zero_Def,E_Zero_Def,S_Zero_04,E_Zero_04,S_CoT_Def,E_CoT_Def,S_CoT_04,E_CoT_04
80,i went to a conference on lesbian issues can whatever just stab them all now and be done with it,NVE,4,"The post contains a direct and explicit call for violence (""stab them all now"") against a specific group (""them,"" referring to attendees of a conference on lesbian issues). This constitutes direct incitement to violence against a protected group. While it doesn't detail planning or tactical instructions, it is a clear advocacy for harm.",4,"The post contains a direct call for violence (""stab them all now"") targeting a specific group (attendees of a lesbian issues conference). This constitutes direct incitement to violence against a group, aligning with Level 4 of the severity rubric. While not an immediate plan, it clearly advocates for violent action.",4,"The post targets individuals associated with ""lesbian issues,"" implicitly lesbian people. It contains a direct call to violence, specifically ""stab them all now."" While not a detailed plan,",4,The post targets individuals attending a conference on lesbian issues
81,brilliant how muslims divert people s attention from terrorism by claiming there is a phobia against them,NVE,2,"This post attributes manipulative behavior to an entire religious group (""Muslims"") and implicitly links them to terrorism, while dismissing legitimate concerns about Islamophobia. This constitutes hate speech and propaganda, promoting negative stereotypes and fueling prejudice against a targeted group. It does not, however, directly incite violence or make specific threats.",2,The post attributes a negative and,2,"The post targets Muslims as a group, accusing them of deception and implicitly linking them to terrorism. While there is no direct call to violence, the language is hateful and propagates a negative stereotype, denying the reality of Islamophobia. There is no immediate or actionable threat present in the post. This falls under the category of propaganda and hate speech targeting a group.",2,"The post targets Muslims, accusing them of manipulating public attention away from terrorism by falsely claiming Islamophobia. This constitutes hate speech and"
82,the fight against the great replacement refugee crisis has begun germans protested and fought counterprotesters today spain sent back a bunch of migrants and europe no longer wants refugees good job europe fightback white genocide refugeesnotwelcome,NVE,4,"The post promotes the extremist ""Great Replacement""",2,"The post promotes the ""Great Replacement"" and",3,"The post targets refugees and migrants,",3,The post targets refugees and migrants
83,society sucks because whatever do not kill enough people like her paki bastard,NVE,4,The post expresses a clear desire for violence,4,The post expresses a desire for more killing of,3,The post targets an individual using a racist slur,3,The post targets an individual and a group using
84,us govt is one big crime scene i e wh dhs hhs epa etc while ongoing conspiracy against the state continues unabated kidnapping immigrant children illegal arrest imprisonment of immigrants theft of federal funds for nazi rallies violating emoluments clause tax scam,NVE,1,The post expresses a strong anti-government sentiment,1,The post expresses strong anti-,1,The post targets the U.S.,1,The post targets the U.S.
85,fuck peta fucking animals have more sense than them,NVE,1,The post expresses strong negative sentiment and uses,2,The post uses strong derogatory and,2,The target of this post is P,2,"The post targets PETA, an animal rights"
86,look at what you just said los new era girl bye kill bitches kindness what cousin,NVE,2,"The phrase ""kill bitches"" contains violent and",2,"The post contains dehumanizing language (""bitches",4,"The post contains the explicit phrase ""kill",4,"The post contains the explicit phrase ""kill bitches"
87,attack any jews that you see,NVE,4,"This post constitutes a direct incitement to violence against a specific religious group (Jews). It explicitly calls for physical attacks, moving beyond general hate speech or glorifying past acts. While it doesn't detail planning or immediate threats from the poster, it is a clear directive for others to commit violence.",4,"This post constitutes direct incitement to violence. It explicitly calls for physical attacks against a specific religious group, clearly meeting the criteria for ""direct incitement to violence or specific threats against a person or group."" It goes beyond general hate speech by commanding an action.",4,"The post directly targets Jewish individuals, calling for",4,"The post directly targets ""jews,"" an entire religious and ethnic group. It contains a clear and unambiguous call to violence with the imperative ""attack."" The threat is immediate and actionable, instructing individuals to commit violence against members of the targeted group upon sight. This constitutes direct incitement to violence against"
88,i applaud the murder of refugees,NVE,3,"This post explicitly glorifies violence,",3,"This post explicitly glorifies violence, specifically the",3,The post targets refugees as a group.,3,The post targets refugees as a group. It
89,just hang the rapist without interrogation or trial face with symbols on mouth justice for twinkle justice for asia,NVE,4,The post directly incites violence by,4,"The post directly incites violence by advocating for extrajudicial killing (""just hang the rapist without interrogation or trial""). This call for lynching bypasses legal processes and constitutes a direct incitement to a violent act against individuals accused of a crime. It moves beyond general ideology or hate speech to encourage specific violent action.",4,"The post directly calls for violence (""",4,"The post targets individuals accused of rape,"
90,country formerly known as france is so far gone that they do not even call terrorism terrorism anymore parisattack is the new official permanent hashtag of paris refugeesnotwelcome brexit maga,NVE,2,"The post contains hate speech by explicitly stating """,2,"The post expresses anti-immigrant and xenophobic sentiment through the hashtag ""refugeesnotwelcome"" and implies a connection between refugees and the normalization of terrorism in France. This constitutes hate speech and propaganda targeting a specific group. While it references a past attack, it does not glorify violence or incite",2,"The post targets France and, more directly",2,The post targets refugees and the country of France
91,if i hear one more black cab driver talk about low income i am going to shoot myself,NVE,1,The post expresses extreme personal frustration and includes a,2,The post expresses clear frustration and negative,2,"The post targets ""black cab drivers",1,"The post targets ""black cab drivers"" with"
92,worldbank reports that in the next years many refugees have to leave her homeland specially in africa who will feed them is europe able to shoot them down and protect her own homeland before it will destroy from africans,NVE,4,The post directly advocates for lethal violence,4,The post directly incites violence by asking if,4,"The post targets refugees, specifically Africans,",4,"The post targets refugees, specifically Africans,"
93,i love male gays that being said i do not feel the same about the women who belong to that group in all honesty i would love if they could live separately like the animals they are,NVE,2,"The post contains clear hate speech and dehumanizing language, referring to a specific group of women as ""animals"" and expressing a desire for their forced segregation. This targets a group with derogatory and dehumanizing terms, aligning with the criteria for Level 2. There",2,"The post uses dehumanizing language by referring to a group of women as ""animals"" and expresses a desire for their segregation. This constitutes hate speech and dehumanization targeting a specific group, aligning with Level 2 of the rubric. It does not incite violence or illegal acts, nor does it contain direct threats.",2,"The post targets gay women, expressing a desire for them to ""live separately like the animals they are."" This constitutes dehumanizing language and hate speech",2,Step 1 — The post targets
94,i would kill myself if my daughter married a dirty chink,NVE,2,"The post uses a severe racial slur (""dirty chink"") and dehumanizing language targeting a specific ethnic group. It expresses extreme racial intolerance and hatred, fitting the definition of hate speech. While it mentions a hypothetical self-harm reaction, the primary harmful content is the derogatory and dehumanizing language directed at a group.",2,"The post contains dehumanizing language and a derogatory racial slur targeting a specific group. This constitutes hate speech and expresses extreme prejudice. While it does not directly incite violence or make a threat against others, it clearly falls under the category of hate speech and dehumanizing language.",2,The post targets individuals of Chinese or East Asian,2,The post targets individuals of Chinese or
95,laughing out loud you failed as well people need to learn to stop correcting others for a minimal grammatical error considered irrelevant because as can be seen by the lack of be in so it would easier whatever all make mistakes whatever are humans and most regular individuals do not give importance to typing correctly on the internet unless you are a super grammar nazi,NVE,1,"The post uses the term ""grammar n",1,"The post uses the term ""grammar",1,"The post uses the term ""grammar nazi",1,The post targets individuals who are
96,human babes are not pleasant to look at i prefer the animals,NVE,1,The post expresses an unusual personal preference,1,"The post expresses a personal, albeit unusual",1,"The post expresses a personal, albeit",1,"The post expresses a personal,"
97,black is such a filthy skin color everything black gets dirty easily that is why white is always superior,NVE,2,"This post contains explicit hate speech and dehumanizing language targeting a specific racial group (""black is such a filthy skin color""). It also asserts racial superiority (""white is always superior""). This directly aligns with Level 2 of the severity rubric.",2,"This post contains clear hate speech and dehumanizing language targeting Black individuals by calling their skin color ""filthy."" It also promotes a white supremacist ideology by claiming ""white is always superior."" This aligns with Level 2, which covers propaganda, hate speech, or dehumanizing language targeting a group.",2,"The post targets individuals of Black race/ethnicity, describing ""black skin color"" as ""filthy"" and asserting ""white is always superior."" This constitutes hate speech and dehumanizing language that propagates an ideology of racial superiority/inferiority. There is no direct call to violence, glorification of past violence, or",2,"The post targets individuals with ""black skin color"" and the Black community, using dehumanizing language by calling it ""filthy."" It promotes racial superiority by stating ""white is always superior."" While there is no direct call to violence or immediate threat, the content constitutes clear hate speech and dehumanizing language targeting a specific group. This aligns with Level 2 of the severity rubric."
98,i will shoot my boss,NVE,4,"This post contains a direct and specific threat of violence against an individual (the boss). It clearly states an intent to commit a violent act. This falls under the category of ""specific threats against a person.""",4,This post contains a specific and,4,The post directly targets a specific,4,"The post directly targets a specific individual,"
99,next you could ask the grand wizard of the kkk why so many are intolerant this poor soul s views cunt scot frc fox news,NVE,2,The post uses highly offensive and dehumanizing language,2,The post uses highly offensive and dehuman,2,"The post targets an individual or group, possibly",2,The post targets an individual or entity associated
100,if the truth be known if it what a slut christian refugees it would not be a problem have not seen a christian refugee shoot or kill,NVE,2,The post uses dehumanizing language and propagates,2,"The post uses discriminatory language by contrasting """,2,"The post targets non-Christian refugees by implicitly associating them with violence (""shoot or",2,The post targets non-Christian
